Società,Email,Sito Internet,Sede Legale,Sede Operativa,Settori Attività
"A.B. ENERGIE 
 Società a responsabilita limitata (S.r.l.)
 P.IVA 03308940166
 C.F. CRBMTT70S30A794F
 Anno di costituzione 2006",amministrazione@abenergie.it,www.abenergie.it,"Via via Tasca,
3 - 24122
BERGAMO(Bergamo)","Via via Tasca,
3 - 24122
BERGAMO(Bergamo)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"ACAM CLIENTI S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 01146130115
 C.F. 01146130115
 Anno di costituzione 2002",segreteria.acamclienti@acamclienti.com,www.acamclienti.com,"Via  A. Picco ,
22 - 19124
LA SPEZIA(La Spezia)","Via  A. Picco ,
22 - 19124
LA SPEZIA(La Spezia)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 q) misura del gas naturale
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale
 t) distribuzione, misura e vendita di altri gas a mezzo di reti"
"ACEAELECTRABEL ELETTRICITÀ SPA
 Società per azioni (S.p.a.)
 P.IVA 07305361003
 C.F. 07305361003
 Anno di costituzione 2002",ae.elettricita@aceaelectrabel.it,,"P.le Ostiense,
2 - 00154
ROMA(Roma)","Via dell'Arte,
73/77 - 00144
ROMA(Roma)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"ACEL SERVICE S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02686430139
 C.F. 02686430139
 Anno di costituzione 2002",info@acelservice.it,www.acelservice.it,"Via Via Fiandra,
13 - 23900
LECCO(Lecco)","Via Via Amendola,
4 - 23900
LECCO(Lecco)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"ACETATI S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 01249600030
 C.F. 01352450066
 Anno di costituzione 1988",,,"Viale AZARI,
110 - 28922
VERBANIA(Verbano-Cusio-Ossola)","Viale AZARI,
110 - 28922
VERBANIA(Verbano-Cusio-Ossola)","a) produzione dell'energia elettrica 
 g) vendita a clienti liberi dell'energia elettrica"
"ACOSET
 Società per azioni (S.p.a.)
 P.IVA 00132380874
 C.F. 00132380874
 Anno di costituzione 2004",presidenza@acoset.com,www.acoset.com,"Viale Mario Rapisardi,
164 - 95123
CATANIA(Catania)","Viale Mario Rapisardi,
164 - 95123
CATANIA(Catania)","g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"A.C.S.M. TRADING SRL UNIPERSONALE
 Società a responsabilita limitata (S.r.l.)
 P.IVA 01900420223
 C.F. 01900420223
 Anno di costituzione 2004",,,"Via ANGELO GUADAGNINI,
31 - 38054
FIERA DI PRIMIERO(Trento)","Via ANGELO GUADAGNINI,
31 - 38054
FIERA DI PRIMIERO(Trento)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"AEMME LINEA ENERGIE SPA
 Società per azioni (S.p.a.)
 P.IVA 03606390965
 C.F. 03606390965
 Anno di costituzione 2002",aemmelineaenergie@amga.it,www.aemmelineaenergie.it,"Via PER BUSTO ARSIZIO  ,
53 - 20025
LEGNANO(Milano)","Via PER BUSTO ARSIZIO  ,
53 - 20025
LEGNANO(Milano)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"A.F. ENERGIA SRL
 Società a responsabilita limitata (S.r.l.)
 P.IVA 04245030285
 C.F. 04245030285
 Anno di costituzione 2007",afenergia@afenergia.it,www.afpetroli.it,"Via Castelletto ,
13 - 35038
TORREGLIA(Padova)","Via Castelletto ,
13 - 35038
TORREGLIA(Padova)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"AGAM VENDITE S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 03755510967
 C.F. 03755510967
 Anno di costituzione 2002",marcella.marras@acsm-agam.it,,"Via via Canova ,
3 - 20052
MONZA(Milano)","Via via Canova ,
3 - 20052
MONZA(Milano)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"Agenzia per l'energia della Provincia di Cuneo srl
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02693930048
 C.F. 02693930048
 Anno di costituzione 1999",info@agengranda.it,www.agengranda.it,"Corso nizza,
21 - 12100
CUNEO(Cuneo)","Corso felice cavallotti,
4 - 12100
CUNEO(Cuneo)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"AGESP ENERGIA SRL
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02727450120
 C.F. 02727450120
 Anno di costituzione 2002",segreteria.agespenergia@agesp.it,www.agesp.it,"Via MARCO POLO,
12 - 21052
BUSTO ARSIZIO(Varese)","Via MARCO POLO,
12 - 21052
BUSTO ARSIZIO(Varese)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"A.G.S. S.R.L. ADRITICA GLOBAL SERVICE
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02206780427
 C.F. 02206780427
 Anno di costituzione 2004",ags@edraambiente.it,,"Via CIMABUE,
3 - 60019
SENIGALLIA(Ancona)","Via CIMABUE,
3 - 60019
SENIGALLIA(Ancona)","a) produzione dell'energia elettrica 
 g) vendita a clienti liberi dell'energia elettrica"
"AGSM ENERGIA Spa
 Società per azioni (S.p.a.)
 P.IVA 02968430237
 C.F. 02968430237
 Anno di costituzione 1999",,,"Via Lungadige Galtarossa, 8,
8 - 37133
VERONA(Verona)","Via Lungadige Galtarossa, 8,
8 - 37133
VERONA(Verona)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica 
 i) attività elettriche estere
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale
 u) attività gas estere trasporto, distribuzione e vendita di energia termica
 altro"
"A.I.M. ENERGY S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 03013930247
 C.F. 03013930247
 Anno di costituzione 2002",commerciale@aimvendite.it,www.aimvendite.it,"Via Contrà Pedemuro San Biagio ,
72 - 36100
VICENZA(Vicenza)","Via Contrà Pedemuro San Biagio ,
72 - 36100
VICENZA(Vicenza)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale
 u) attività gas estere altro"
